  4470 vectors within the range 119.98 120.02
  -48    0  110     88   66   48     0.474984   2.371807
  -48   66  -88    -78  -33  -85    -0.233173  -2.006071
  -48   66   88     27  -26 -114     0.177762   0.658797
  -48   71  -84    -21   66   98     0.495900  -0.518016
  -48   71   84     12 -107   53     0.010114   0.355782
  -48   84  -71      6   98  -69     0.190534   0.244894
  -48   84   71    -83  -82  -28    -1.132420  -2.172113
  -48   88  -66    100  -26   61    -1.309136   2.661645
  -48   88   66     17  -83  -85     0.428028   0.448328
  -48  110    0     98   21   66    -1.276979   2.636296
  -47 -108  -23   -114   26  -27    -0.956300  -3.027135
  -47 -108   23     98   13  -68     1.938126   2.631967
  -47  -87  -68   -108   36  -38     0.498166  -2.826838
  -47  -87   68     17  -84  -84     0.261356   0.444684
  -47  -68  -87    -81  -84   28    -0.351132  -2.106402
  -47  -68   87    -52  102  -36    -0.850494  -1.303929
  -47  -23 -108     76  -86  -35    -1.030761   1.898799
  -47  -23  108     83   85   17     0.161974   2.178341
  -47   23 -108     51  -40  101    -0.216636   1.290018
  -47   23  108    -79   81  -40    -1.549002  -2.022928
  -47   68  -87      0 -110  -48    -1.482190  -0.017006
  -47   68   87     62   53  -88     0.528650   1.566686
  -47   87  -68     83   17   85     0.729652   2.158301
  -47   87   68    -88  -78   24    -1.410263  -2.375551
  -47  108  -23    -77  -27  -88     0.171987  -1.956219
  -47  108   23    -96   72   -1    -0.338197  -2.532554
  -46 -109  -20    -26   -6  117    -1.356700  -0.622650
  -46 -109   20    117   15   22     0.668238   3.088375
  -46  -20 -109     84  -71  -48     1.016607   2.187694
  -46  -20  109      6  -26 -117    -0.995945   0.216491
  -46   20 -109    -55   83   67    -1.690944  -1.397448
  -46   20  109     37 -112   22    -1.777295   0.929327
  -46  109  -20    118  -21    6     0.381254   3.097841
  -46  109   20    -41   29 -109     0.845721  -1.034446
  -45 -103  -42    -26  -61  100     2.405864  -0.628301
  -45 -103   42     28   81   84     0.340411   0.699399
  -45  -91  -64     26  -27  114    -0.189065   0.618373
  -45  -91   64   -108  -23  -47     0.543171  -2.838594
  -45  -64  -91   -103  -42   45    -0.325537  -2.738678
  -45  -64   91    -33   78   85     0.591975  -0.798912
  -45  -42 -103     84  -28  -81    -0.957679   2.199103
  -45  -42  103    -12  107  -53    -0.323170  -0.356102
  -45   42 -103     81  -21  -86     0.538058   2.087082
  -45   42  103    111   36   28    -2.553061   2.954447
  -45   64  -91    114    6  -37     0.061710   3.033407
  -45   64   91    -96  -31  -65     0.439732  -2.575348
  -45   91  -64    -98   68  -13    -0.081783  -2.616461
  -45   91   64     40  -16 -112    -2.180315   0.999373
  -45  103  -42     41   54   99     0.330699   1.045260
  -45  103   42     36  -35  109    -0.096446   0.893492
  -44 -111  -12     36  111   28     0.310126   0.923947
  -44 -111   12     -6  -91  -78     0.346113  -0.244141
  -44 -110  -19     59  -10  104    -0.750281   1.485867
  -44 -110   19     11  -49 -109     1.694201   0.329532
  -44 -106  -35    109  -36  -35    -0.309101   2.866005
  -44 -106   35    112   16  -40    -0.898632   2.989459
  -44  -96  -57     40  -51 -101     2.535921   0.995978
  -44  -96   57      3   43  112    -1.864151   0.111391
  -44  -57  -96     68  -13   98    -1.357175   1.739623
  -44  -57   96    111   12   44    -1.545023   2.945669
  -44  -35 -106    -60   20  102     0.723362  -1.507898
  -44  -35  106     80   -9  -89    -2.499117   2.047969
  -44  -19 -110   -102   63   -5    -0.077009  -2.691826
  -44  -19  110     60  -52   90    -1.474833   1.505894
  -44  -12 -111     62  -53   88     0.722581   1.565711
  -44  -12  111     96  -65   31    -0.210073   2.539467
  -44   12 -111    -30  -77  -87     0.731273  -0.749260
  -44   12  111      2  -43 -112    -0.873345   0.069366
  -44   19 -110      3  -43  112    -0.224376   0.109177
  -44   19  110     63 -102   -5    -0.647624   1.577507
  -44   35 -106      6   91   78     0.921165   0.244359
  -44   35  106     36  109   35     0.500197   0.921866
  -44   57  -96    -12  107  -53     0.048389  -0.356531
  -44   57   96     77   -2  -92    -1.291493   1.946695
  -44   96  -57      5  106   56    -0.003785   0.181701
  -44   96   57    -73    7  -95    -1.194235  -1.874070
  -44  106  -35    109   49   11     1.328081   2.905803
  -44  106   35    -21  -66   98    -0.250841  -0.532443
  -44  110  -19     26 -114  -27     0.031873   0.602506
  -44  110   19      0 -120   -1     1.726130  -0.023617
  -44  111  -12   -112  -37   22     0.246436  -2.994839
  -44  111   12    106  -35   44     0.372785   2.776911
  -43 -112   -3    -72   96    1    -0.179229  -1.815441
  -43 -112   -2    -56   72  -78     0.640591  -1.416227
  -43 -112    2     -3  105  -58    -0.631619  -0.097423
  -43 -112    3    100  -26   61     0.770000   2.661412
  -43  -85  -73      1  -72   96     0.030150   0.034231
  -43  -85   73     20  -46 -109    -0.709455   0.481800
  -43  -73  -85     65   31  -96    -0.995450   1.651265
  -43  -73   85      3   77   92     0.441846   0.117300
  -43   -3 -112     11  -11  119    -0.353445   0.333418
  -43   -3  112    -57  -50  -93     1.852829  -1.452148
  -43   -2 -112    103   42   45     0.897108   2.739704
  -43   -2  112     -6  -54  107     0.404159  -0.234380
  -43    2 -112    -69  -82   54    -0.248159  -1.774231
  -43    2  112     85   83  -17    -1.684178   2.274626
  -43    3 -112     91   61  -49     0.675487   2.459978
  -43    3  112     42  103   45    -0.856899   1.076680
  -43   73  -85    119   15    4     0.368452   3.122346
  -43   73   85    -85   17  -83    -1.205497  -2.253907
  -43   85  -73    -12   71   96     0.571955  -0.360191
  -43   85   73      0   72   96     0.098897   0.011662
  -43  112   -3     -2  -72  -96     1.594819  -0.079899
  -43  112   -2    114  -21  -31     1.106943   3.028117
  -43  112    2    101   51  -40     1.875368   2.685154
  -43  112    3    -96   31  -65    -0.274290  -2.553723
  -42 -103  -45   -115   34    4    -1.889481  -3.051532
  -42 -103   45     11   85   84     0.527104   0.344972
  -42  -91  -66     68   13   98    -2.260512   1.742382
  -42  -91   66     26   27 -114    -1.112577   0.625435
  -42  -66  -91     72   56  -78     0.000003   1.849561
  -42  -66   91     20  102  -60     0.337031   0.495745
  -42  -45 -103    -35   76   86    -1.320529  -0.844475
  -42  -45  103     44  110   19    -0.706166   1.152332
  -42   45 -103   -120   -1    1    -0.845279  -3.137134
  -42   45  103   -119   15   -4    -0.595955  -3.108233
  -42   66  -91    112   37   22     0.142864   2.995422
  -42   66   91    100   26   61    -0.468212   2.664870
  -42   91  -66     77  -88   27     0.400919   1.928513
  -42   91   66     86  -76   35     0.776608   2.284653
  -42  103  -45    109  -36   35     0.952386   2.866975
  -42  103   45    -57   44   96     0.122552  -1.445891
  -41 -111  -20    -67  -38  -92     0.759675  -1.714224
  -41 -111   20     -4   34  115     0.277025  -0.137979
  -41 -109  -29    -85  -73   43    -0.138603  -2.269818
  -41 -109   29   -103  -52  -33    -0.112551  -2.745884
  -41  -99  -54    -91   66  -42     0.622157  -2.431288
  -41  -99   54    -54   41  -99    -0.243888  -1.376450
  -41  -54  -99      0 -120   -1    -0.527097  -0.023755
  -41  -54   99    -37  -22 -112     0.668508  -0.946711
  -41  -29 -109    -44  -57  -96    -1.326368  -1.143783
  -41  -29  109     28   82   83     0.461887   0.702082
  -41  -20 -111     -5   63 -102     1.769033  -0.167346
  -41  -20  111    -48  -66  -88    -0.392772  -1.229098
  -41   20 -111   -116  -10  -29    -1.125722  -3.069617
  -41   20  111   -119   11   11    -2.046600  -3.110220
  -41   29 -109     36  111  -28    -0.617687   0.923040
  -41   29  109    -88  -16   80     0.449209  -2.353450
  -41   54  -99    -88   16  -80     0.854211  -2.352079
  -41   54   99     43  -73  -85    -0.673512   1.085930
  -41   99  -54    112   16   40     0.649502   2.989804
  -41   99   54     98   -6  -69     0.530674   2.626924
  -41  109  -29    -49  109   11     1.637492  -1.240242
  -41  109   29     37 -112  -22     1.075922   0.927934
  -41  111  -20   -116  -29   10    -0.660798  -3.069937
  -41  111   20     11   85   84    -0.567816   0.345249
  -40 -112  -16    -66   59   81    -0.271828  -1.667292
  -40 -112   16    109  -35  -36     0.164399   2.868070
  -40 -101  -51   -108  -36  -38     1.649603  -2.841211
  -40 -101   51    -43   73   85    -2.494743  -1.085423
  -40  -81  -79    -45 -103  -42     0.236394  -1.177895
  -40  -81   79    -50  109    4    -1.245770  -1.263297
  -40  -80  -80     50  -57  -93    -0.224022   1.268262
  -40  -80   80     24   88  -78     0.806072   0.591609
  -40  -79  -81     57  -84   64    -1.603333   1.439053
  -40  -79   81    -35  -44 -106     1.110779  -0.856411
  -40  -51 -101     66  -98  -21    -0.386750   1.656804
  -40  -51  101     34    4 -115     0.857378   0.829922
  -40  -16 -112    119  -11  -11     0.314259   3.109362
  -40  -16  112     12   96  -71    -0.364291   0.377873
  -40   16 -112     88  -16  -80     0.077109  -2.355438
  -40   16  112    -56  -72   78     0.350045  -1.423145
  -40   51 -101     40   81  -79     1.195336   1.012668
  -40   51  101     51  101  -40    -0.314800   1.294268
  -40   79  -81    -28   84  -81    -0.626364  -0.682336
  -40   79   81      6 -108  -52     0.707200   0.192249
  -40   80  -80    111  -41   20     0.845974   2.930797
  -40   80   80    -65  -96  -31     0.037387  -1.655201
  -40   81  -79     92   77    3     0.110768   2.503904
  -40   81   79    -20 -109   46    -1.491735  -0.497772
  -40  101  -51    -38   67   92    -0.570236  -0.965154
  -40  101   51     22  112  -37     0.161987   0.566003
  -40  112  -16     64  -10  101     0.744741   1.622038
  -40  112   16      2  -77  -92     0.112581   0.063289
  -38 -108  -36     16   40  112     1.043579   0.432696
  -38 -108   36    -88   24   78    -1.445054  -2.347957
  -38  -92  -67     91  -64   45    -1.213583   2.434253
  -38  -92   67     28  -81  -84     0.011553   0.688843
  -38  -67  -92    -47 -108   23     0.174573  -1.210114
  -38  -67   92    101  -64   10    -1.040666   2.670322
  -38  -36 -108    -54  -69  -82     0.602195  -1.388005
  -38  -36  108    101  -10   64     0.273909   2.677889
  -38   36 -108    -42   66  -91    -0.234347  -1.062159
  -38   36  108    -53   88  -62     1.887545  -1.345677
  -38   67  -92    -61  -70   76    -0.040033  -1.543662
  -38   67   92    -45  -91   64    -0.015748  -1.173261
  -38   92  -67    -83  -28   82     0.074950  -2.162628
  -38   92   67     72  -56   78     0.131342   1.827417
  -38  108  -36    109  -46  -20    -0.224364   2.859665
  -38  108   36    101  -40   51    -0.505680   2.675894
  -37 -114   -6    -88  -16  -80     0.047863  -2.354968
  -37 -114    6     77   -2  -92    -0.699107   1.946228
  -37 -112  -22      0   -2  120     1.029162  -0.004276
  -37 -112   22     84  -81  -28     1.291275   2.185169
  -37 -108  -37     87  -77  -30    -1.179974   2.303080
  -37 -108   37      2   96  -72    -0.136730   0.085964
  -37  -37 -108     20  109   46     1.677661   0.499150
  -37  -37  108     45   42 -103    -0.414033   1.166874
  -37  -22 -112     34    4 -115    -0.036262   0.830303
  -37  -22  112     72    1  -96     0.210630   1.840504
  -37   -6 -114   -102   -5   63     0.847058  -2.707286
  -37   -6  114     90  -75   26     1.126239   2.405628
  -37    6 -114     47 -108   23    -3.101988   1.190747
  -37    6  114     -1 -120    1    -1.236124  -0.050220
  -37   22 -112     59 -104   10    -0.845143   1.478556
  -37   22  112     10 -104  -59    -1.859606   0.286772
  -37   37 -108     88  -27   77    -0.135489   2.346760
  -37   37  108    -11  -49 -109    -0.635500  -0.339319
  -37  108  -37     -2   43 -112    -0.385818  -0.071603
  -37  108   37     36   89  -72    -0.727890   0.911661
  -37  112  -22    -91  -42  -66     0.794021  -2.453273
  -37  112   22    -36  -52  102    -0.589486  -0.905762
  -37  114   -6     11  109   49     0.421835   0.347535
  -37  114    6     72  -96    1     0.834899   1.818718
  -36 -111  -28    -76   86   35    -0.117153  -1.898001
  -36 -111   28     48    0  110    -0.276295   1.226377
  -36 -109  -35     33   85   78     1.347388   0.818023
  -36 -109   35   -118    6   21    -1.169279  -3.098763
  -36 -108  -38     70  -61  -76    -0.862515   1.783467
  -36 -108   38   -120    0   -1     0.629888  -3.133344
  -36 -102  -52     32   97  -63     0.387827   0.787841
  -36 -102   52    -87   30  -77    -1.455340  -2.312548
  -36  -89  -72     81   59  -66     1.086567   2.098222
  -36  -89   72     95   -7  -73    -1.219370   2.520271
  -36  -72  -89     52 -102   36     0.437156   1.303641
  -36  -72   89     -7   73  -95     0.756744  -0.266314
  -36  -52 -102     52 -102   36    -0.546045   1.303770
  -36  -52  102     57   96  -44    -1.924094   1.461954
  -36  -38 -108    -89  -72   36     0.566527  -2.398097
  -36  -38  108     15  119   -4    -1.060482   0.417156
  -36  -35 -109    -11  -84  -85     0.643986  -0.341606
  -36  -35  109    -91  -78   -6     1.553725  -2.470304
  -36  -28 -111    -68  -87   47    -0.542493  -1.752081
  -36  -28  111    -50 -109   -4     0.162364  -1.284111
  -36   28 -111     37   22  112     0.363355   0.946839
  -36   28  111    -30 -113  -27     1.032656  -0.754873
  -36   35 -109    -81  -84  -28    -0.822593  -2.108451
  -36   35  109   -119   11  -11    -0.102730  -3.111303
  -36   38 -108    -64  -96  -33    -1.506749  -1.640843
  -36   38  108   -103   42  -45    -1.080282  -2.731912
  -36   52 -102      1  -72  -96     1.216282   0.033349
  -36   52  102     84  -71   48     0.205759   2.189580
  -36   72  -89    -20 -111  -41    -0.957565  -0.501994
  -36   72   89    -96   72   -1    -1.576332  -2.532020
  -36   89  -72     96  -64  -33    -0.013233   2.540851
  -36   89   72    -69   98    6    -0.487630  -1.757724
  -36  102  -52    -82  -69   54     0.388379  -2.128391
  -36  102   52   -103   33   52    -0.074649  -2.733385
  -36  108  -38    -66  -91  -42    -0.388458  -1.697252
  -36  108   38    -42  -66   91     0.995934  -1.069515
  -36  109  -35    114   26   27    -0.695976   3.040958
  -36  109   35     48  -71  -84     0.739462   1.219617
  -36  111  -28     36  -38 -108     0.370701   0.888806
  -36  111   28    -41  -20 -111     1.015176  -1.039581
  -35 -109  -36    -84   48  -71     0.896681  -2.198220
  -35 -109   36    -55  -83   67    -0.956277  -1.406825
  -35 -106  -44    -71   96   12    -3.047860  -1.791277
  -35 -106   44   -103   42  -45     1.276429  -2.731315
  -35  -86  -76    -69   54  -82    -0.429682  -1.764851
  -35  -86   76     42  -45  103    -0.264004   1.065323
  -35  -76  -86     57   93   50     2.151106   1.461208
  -35  -76   86    114   21   31    -0.751538   3.038121
  -35  -44 -106    -11 -119  -11     0.017843  -0.350040
  -35  -44  106   -111  -41  -20    -0.567471  -2.956576
  -35  -36 -109     99   54   41    -0.727671   2.656030
  -35  -36  109    -64  101   10    -0.214519  -1.600299
  -35   36 -109     84  -71  -48     0.372171   2.188353
  -35   36  109    -28  -83   82     0.199181  -0.703000
  -35   44 -106     52 -103  -33    -0.249611   1.300064
  -35   44  106    -80  -40   80    -2.308539  -2.055867
  -35   76  -86     35  -44  106     0.381463   0.848519
  -35   76   86    -67  -92   38     0.269744  -1.721483
  -35   86  -76     -3  112  -43     1.214227  -0.095120
  -35   86   76    112   37   22    -0.098128   2.995423
  -35  106  -44     48   88   66    -0.437571   1.238230
  -35  106   44     73  -85  -43    -2.857161   1.867376
  -35  109  -36     96    2   72    -1.170305   2.570449
  -35  109   36    -37  108  -37     0.575223  -0.933119
  -34 -115   -4    -36   52 -102    -1.099176  -0.888132
  -34 -115    4     -4  119   15    -1.081192  -0.127145
  -34   -4 -115     22  -15  117    -0.153832   0.559164
  -34   -4  115     81  -86   21     0.699514   2.068299
